"BackupSize","JobName","FileName","CompressRatio","DeduplicationRatio","CreationTimeUtc","DataSize","FileType"
"263847936","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-08T123539.vib","6.25","0.96","2018-12-08T18:35:39.237Z","1579210616","vib"
"184942592","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-08T123539.vib","2.56","1","2018-12-08T18:35:39.237Z","456187307","vib"
"224591872","AUSVCENTER-TagTest_2","ausveeambr.vm-58D2018-12-06T043518.vib","2.63","1.03","2018-12-06T10:35:18.77Z","607167720","vib"
"16917135360","AUSVCENTER-TagTest_2","ausjump01.vm-33D2018-12-08T011428.vbk","1.41","1.44","2018-12-08T06:35:27.093Z","34359795831","vbk"
"11879645184","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-08T011428.vbk","1.72","5.24","2018-12-08T06:35:27.093Z","107374226417","vbk"
"7411204096","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-08T011428.vbk","3.45","11.33","2018-12-08T06:35:27.093Z","289619891974","vbk"
"11854151680","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-08T011428.vbk","1.72","3.15","2018-12-08T06:35:27.093Z","64424566116","vbk"
"1368784896","AUSVCENTER-TagTest_2","ausjump01.vm-33D2018-12-08T163526.vib","1.72","1.05","2018-12-08T22:35:26.227Z","2482037018","vib"
"274333696","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-08T163526.vib","6.25","0.95","2018-12-08T22:35:26.227Z","1625347960","vib"
"243859456","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-08T163526.vib","2.38","1","2018-12-08T22:35:26.227Z","565227814","vib"
"545521664","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-08T163526.vib","2.08","1.13","2018-12-08T22:35:26.227Z","1285610858","vib"
"564199424","AUSVCENTER-TagTest_2","ausjump01.vm-33D2018-12-08T083527.vib","1.85","1","2018-12-08T14:35:27.987Z","1036050696","vib"
"252706816","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-08T083527.vib","6.25","1","2018-12-08T14:35:27.987Z","1504761720","vib"
"309002240","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-08T083527.vib","2.5","1","2018-12-08T14:35:27.987Z","755018713","vib"
"174718976","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-08T083527.vib","2.5","0.98","2018-12-08T14:35:27.987Z","429972917","vib"
"7473201152","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-09T011316.vbk","3.45","11.24","2018-12-09T06:35:36.757Z","289619891974","vbk"
"11865882624","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-09T011316.vbk","1.72","3.15","2018-12-09T06:35:36.757Z","64424566058","vbk"
"16920543232","AUSVCENTER-TagTest_2","ausjump01.vm-33D2018-12-09T011316.vbk","1.41","1.44","2018-12-09T06:35:36.757Z","34359795795","vbk"
"11896422400","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-09T011316.vbk","1.72","5.23","2018-12-09T06:35:36.757Z","107374227526","vbk"
"527892480","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-09T163540.vib","2.08","1.12","2018-12-09T22:35:40.667Z","1236327777","vib"
"230752256","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-09T163540.vib","2.38","1","2018-12-09T22:35:40.667Z","547401919","vib"
"232849408","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-09T163540.vib","6.67","0.94","2018-12-09T22:35:40.667Z","1461770104","vib"
"1416232960","AUSVCENTER-TagTest_2","ausjump01.vm-33D2018-12-09T163540.vib","1.69","1.06","2018-12-09T22:35:40.667Z","2550194226","vib"
"1145044992","AUSVCENTER-TagTest_2","ausjump01.vm-33D2018-12-09T083523.vib","1.82","1.01","2018-12-09T14:35:23.677Z","2102452431","vib"
"166592512","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-09T083523.vib","2.5","0.97","2018-12-09T14:35:23.677Z","402709810","vib"
"228065280","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-09T083523.vib","6.25","0.98","2018-12-09T14:35:23.677Z","1395709816","vib"
"649986048","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-09T083523.vib","2.04","0.99","2018-12-09T14:35:23.677Z","1312862302","vib"
"236978176","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-09T123532.vib","6.67","0.94","2018-12-09T18:35:32.627Z","1487984504","vib"
"173473792","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-09T123532.vib","2.5","1","2018-12-09T18:35:32.627Z","416341304","vib"
"1431961600","AUSVCENTER-TagTest_2","ausjump01.vm-33D2018-12-09T123532.vib","1.69","1.06","2018-12-09T18:35:32.627Z","2582700329","vib"
"637992960","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-09T123532.vib","2.13","1.1","2018-12-09T18:35:32.627Z","1498460398","vib"
"228458496","AUSVCENTER-TagTest_2","ausveeambr.vm-58D2018-12-06T083536.vib","2.56","1.01","2018-12-06T14:35:36.453Z","592487641","vib"
"614924288","AUSVCENTER-TagTest_2","ausjump01.vm-33D2018-12-09T161545.vib","1.85","1","2018-12-09T22:15:45.357Z","1122041267","vib"
"236584960","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-09T161545.vib","6.67","0.93","2018-12-09T22:15:45.357Z","1465964402","vib"
"466223104","AUSVCENTER-TagTest_2","ausveeambr.vm-58D2018-12-09T161545.vib","2.17","1.15","2018-12-09T22:15:45.357Z","1162960982","vib"
"573308928","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-09T161545.vib","2.04","1.06","2018-12-09T22:15:45.357Z","1238590477","vib"
"232259584","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-09T161545.vib","2.38","0.98","2018-12-09T22:15:45.357Z","541172084","vib"
"289406976","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-08T041537.vib","2.33","1","2018-12-08T10:15:37.46Z","657562826","vib"
"253427712","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-08T041537.vib","6.25","0.95","2018-12-08T10:15:37.46Z","1506858866","vib"
"524222464","AUSVCENTER-TagTest_2","ausveeambr.vm-58D2018-12-08T041537.vib","2.17","1.01","2018-12-08T10:15:37.46Z","1155621094","vib"
"1580597248","AUSVCENTER-TagTest_2","ausjump01.vm-33D2018-12-08T041537.vib","1.82","1","2018-12-08T10:15:37.46Z","2821782961","vib"
"177930240","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-08T041537.vib","2.56","1","2018-12-08T10:15:37.46Z","438525292","vib"
"174915584","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-09T081529.vib","2.5","0.97","2018-12-09T14:15:29.4Z","422797966","vib"
"231342080","AUSVCENTER-TagTest_2","ausveeambr.vm-58D2018-12-09T081529.vib","2.63","1.01","2018-12-09T14:15:29.4Z","617701461","vib"
"1145372672","AUSVCENTER-TagTest_2","ausjump01.vm-33D2018-12-09T081529.vib","1.82","1.01","2018-12-09T14:15:29.4Z","2102459771","vib"
"258473984","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-09T081529.vib","2.44","1","2018-12-09T14:15:29.4Z","607232297","vib"
"231407616","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-09T081529.vib","6.67","0.94","2018-12-09T14:15:29.4Z","1455478642","vib"
"7570391040","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-10T082837.vbk","3.45","11.09","2018-12-10T14:15:34.587Z","289619891970","vbk"
"12931170304","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-10T082837.vbk","1.75","2.84","2018-12-10T14:15:34.587Z","64424731675","vbk"
"21380595712","AUSVCENTER-TagTest_2","ausveeambr.vm-58D2018-12-10T082837.vbk","1.47","1.37","2018-12-10T14:15:34.587Z","42949765186","vbk"
"16867131392","AUSVCENTER-TagTest_2","ausjump01.vm-33D2018-12-10T082837.vbk","1.41","1.45","2018-12-10T14:15:34.587Z","34359802567","vbk"
"11906252800","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-10T082837.vbk","1.72","5.23","2018-12-10T14:15:34.587Z","107374287087","vbk"
"20568014848","AUSVCENTER-TagTest_2","ausveeambr.vm-58D2018-12-08T002405.vbk","1.47","1.42","2018-12-08T06:15:23.69Z","42949761948","vbk"
"11889344512","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-08T002405.vbk","1.72","5.24","2018-12-08T06:15:23.69Z","107374288053","vbk"
"12921274368","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-08T002405.vbk","1.75","2.84","2018-12-08T06:15:23.69Z","64424729644","vbk"
"7410745344","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-08T002405.vbk","3.45","11.33","2018-12-08T06:15:23.69Z","289619891970","vbk"
"16926310400","AUSVCENTER-TagTest_2","ausjump01.vm-33D2018-12-08T002405.vbk","1.41","1.44","2018-12-08T06:15:23.69Z","34359803113","vbk"
"582483968","AUSVCENTER-TagTest_2","ausjump01.vm-33D2018-12-08T081525.vib","1.85","1","2018-12-08T14:15:25.27Z","1068563870","vib"
"252903424","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-08T081525.vib","2.44","1","2018-12-08T14:15:25.27Z","594648213","vib"
"313327616","AUSVCENTER-TagTest_2","ausveeambr.vm-58D2018-12-08T081525.vib","2.5","0.98","2018-12-08T14:15:25.27Z","767647619","vib"
"180551680","AUSVCENTER-TagTest_2","ausdc01.vm-56D2018-12-08T081525.vib","2.56","0.98","2018-12-08T14:15:25.27Z","452156996","vib"
"250478592","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-08T081525.vib","6.25","1","2018-12-08T14:15:25.27Z","1490081650","vib"
"247398400","AUSVCENTER-TagTest_2","ausveeambem.vm-118D2018-12-09T041525.vib","2.44","1.01","2018-12-09T10:15:25.173Z","607232335","vib"
"241565696","AUSVCENTER-TagTest_2","ausvcenter.vm-57D2018-12-09T041525.vib","6.25","1","2018-12-09T10:15:25.173Z","1415632754","vib"
"308084736","AUSVCENTER-TagTest_2","ausveeambr.vm-58D2018-12-09T041525.vib","2.38","0.99","2018-12-09T10:15:25.173Z","723607634","vib"
